"ind","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Population","population"
"SIB",0.0335375,-0.00788323,-0.00686352,0.0378405,0.00714294,0.0100105,0.0316679,0.00151646,-0.00489161,-0.0202327,0.0322402,-0.0112763,-0.0282035,0.0470274,-0.0528828,-0.00628339,-0.0605958,-0.0169647,-0.0327183,0.0355442,"SIB","SIB"
"SIB",0.0334476,-0.0166307,-0.000755066,0.00119345,0.000301593,-0.0522503,0.0172414,-0.0155778,0.0186407,-0.033113,-0.0113487,-0.00571984,-0.032774,0.106265,-0.0891674,0.0181978,-0.0792762,0.0101336,-0.0560151,0.0410916,"SIB","SIB"
"SIB",0.0333362,-0.0187886,0.00558451,-0.00665453,0.0186907,-0.0483154,0.00844194,0.00560839,0.017109,-0.0250018,-0.00742105,-9.68177e-05,-0.0206172,0.0913943,-0.0555017,-0.00408154,-0.0665826,0.0110913,-0.0470621,0.0393323,"SIB","SIB"
"SIB",0.0349203,-0.00829482,-0.0141161,0.00768065,0.012844,-0.0275293,0.0290178,-0.0101044,0.0234453,-0.0199259,0.00719795,-0.0101831,-0.0317634,0.0914013,-0.0937305,-0.00546376,-0.0890645,-0.0097207,-0.0692167,0.0608231,"SIB","SIB"
"SIB",0.0325282,-0.00674958,0.00189669,0.0262182,0.00145898,-0.026147,0.033721,-0.010789,0.0257659,-0.0361636,0.0340033,-0.0312041,-0.0447038,0.114657,-0.0930699,0.00838961,-0.100126,-0.0187139,-0.0728287,0.0471035,"SIB","SIB"
"SIB",0.0327103,-0.0136818,-0.00486589,0.00854735,-0.0145556,-0.0288778,0.00276794,-0.00510053,-0.0218523,0.0284083,0.024787,0.00782016,-0.000582562,0.00605925,0.00233115,0.0165748,-0.0198773,0.0042728,-0.0131099,-0.0116151,"SIB","SIB"
"SIB",0.0330226,-0.00740953,-0.00434571,-0.0161794,-0.0135345,-0.00762582,-0.0125679,-0.0233575,-0.0108099,0.0073664,0.00943532,-0.00990702,-0.0229768,0.00169864,0.0235313,0.0183925,-0.0269421,0.024472,0.00693716,-0.00495571,"SIB","SIB"
"SIB",0.0323115,-0.0151091,-0.00856672,-0.00170917,-0.00839114,-0.0151161,-0.00816871,-0.00819923,-0.0215863,-0.00673706,0.00565218,-0.00873341,-0.025747,0.00119,-0.00388406,0.0221207,-0.0298575,0.00396231,-0.0122644,-0.0102521,"SIB","SIB"
"SIB",0.0332084,-0.00917984,0.00236445,0.00382338,-0.0194016,-0.0405849,-0.0103309,-0.0216919,-0.0120107,0.037066,0.0193046,-0.000892251,-0.00871516,0.00654865,0.0328601,0.0199201,-0.0127157,0.0161529,0.00978331,-0.00587478,"SIB","SIB"
"SIB",0.0332651,-0.0123573,0.000921345,-0.00965482,0.00257637,-0.0150992,0.016525,0.00964737,-0.0198671,-0.0260012,0.00481289,0.0138381,-0.0405239,-0.00922889,-0.0154236,-0.0145367,0.0313242,0.0130235,0.0145733,-0.00222202,"SIB","SIB"
